FEATTYPE,SCALE,FACAFF,elevation,aspect,slope,landuse,Period,Years_befo,Main_Rock_,NDVI,distance,total_curv,plan_curv,prof_curv,Label
Natural Hillside,3,Squatter dwellings,31,320.44,2.30861,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.337362,42.78234113,0.294865,0.142281,-0.152585,1
Retaining Wall,1,Other (ruined structure),9,245.556,0.935468,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.195525,189.6869788,0.0122861,0.0501815,0.0378955,1
Soil Cut,2.4,Squatter dwelling,10,81.8699,3.82673,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.158217,347.1642187,0.307151,0.394402,0.0872506,1
Natural Hillside,1,Others (Streamcourse),51,308.089,3.635,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.302933,71.51903006,-0.454584,-0.153588,0.300996,1
Retaining Wall (Masonry),0.6,Open area,12,32.4712,1.00942,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.233526,819.7909091,0.491442,0.260312,-0.231131,1
Natural Hillside,2.4,Minor footpath,76,353.956,6.58886,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.347097,364.9068125,0.172005,0.226808,0.0548033,1
Retaining Wall (Masonry),2,Open area,24,243.997,7.02863,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.330684,78.22666389,-0.393154,-0.103402,0.289752,1
Retaining Wall,1.8,Catchwater,89,323.471,5.18894,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.248617,433.4087588,-0.368582,-0.164682,0.2039,1
Soil Cut,3,Minor footpath,11,210.964,0.902868,61,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.187088,224.6834337,-0.159719,-0.0761026,0.0836162,1
Soil Cut,3,Minor footpath,27,133.238,7.08441,72,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.346537,249.1711671,0.40544,0.295158,-0.110282,1
Soil Cut,2,Minor footpath,12,217.875,0.882731,61,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.170337,444.9132786,0.393154,0.20427,-0.188884,1
Soil Cut,10,Open area,43,135.83,7.5128,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.376672,500.8311283,-0.614303,-0.291644,0.322659,1
Soil Cut,5,Minor footpath,51,308.089,3.635,72,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.36457,77.24677785,-0.565159,-0.487853,0.0773062,1
Natural Hillside,1,"Nil (debris came
to rest on hillside)",126,287.328,10.0346,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.20854,108.7215815,-0.135147,0.0172005,0.152347,1
Soil Cut,1,Minor footpath,14,296.372,10.1757,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.264548,62.51421256,-0.159719,-0.167529,-0.00781006,1
Natural Hillside,400,Nil (Landslide debris deposited on the slope),5,262.093,11.1149,72,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.30099,37.0571572,-0.0982885,-0.0505598,0.0477287,1
Retaining Wall (Masonry),3,Others (alleyway),19,351.529,7.31833,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.198337,158.0203357,-0.0982885,0.0245721,0.122861,1
Soil Cut,2,"Nil (debris came
to rest on slope)",16,262.875,2.49536,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.292951,105.018907,0.0982885,0.01715,-0.0811385,1
Natural Hillside,100,Minor footpath,18,14.0362,0.638451,61,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.381511,117.6974433,-0.331724,0.00264548,0.334369,1
Soil cut,0.1,Access road,12,267.879,4.1765,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.244765,237.8670965,-0.0860024,-0.093522,-0.0075196,1
Soil Cut,5,Open area,9,349.992,1.33635,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.179665,92.70829848,-0.294865,-0.0356768,0.259189,1
Soil Cut,1.5,Catchwater,29,127.476,11.5486,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.284459,39.52985308,-0.196577,-0.034779,0.161798,1
Soil Cut,0.5,Road,27,199.411,8.55563,72,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.313962,19.23560274,-0.0245721,-0.00506385,0.0195083,1
Soil Cut,0.5,Road,20,209.055,4.77188,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.182384,34.80730423,-0.196577,-0.0737164,0.122861,1
Retaining Wall,15,Squatter dwelling,16,345.964,0.638451,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.211817,252.753095,-0.0245721,-0.282624,-0.258052,1
Soil Cut,0.3,Road,212,308.962,11.3024,54,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.279253,925.5734133,0.0737164,0.0153708,-0.0583456,1
Fill Slope,0.5,Open area,15,12.7712,5.93301,21,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.17371,164.2969698,-0.0737164,-0.105861,-0.0321448,1
Soil Cut,0.5,Road,212,308.962,11.3024,54,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.279253,341.5229611,0.147433,0.0974231,-0.0500096,1
Retaining Wall,46,Access road,25,145.008,3.77498,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.25036,302.0780245,0.307151,0.344609,0.0374575,1
Natural Hillside,1,Open area,26,168.69,0.394794,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0748246,39.80975477,-0.589731,-0.252226,0.337505,1
Retaining Wall,3,Backyard,16,191.976,2.61013,32,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.130929,239.5002405,0.184291,0.111011,-0.0732795,1
Soil Cut,3,Minor footpath / access,43,357.814,10.0461,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.347651,98.21973606,-0.258007,-0.0984821,0.159525,1
Natural Hillside,4,Streamcourse,17,11.3099,0.789551,61,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.333144,13.44788941,-0.0245721,-0.127118,-0.102546,1
Fill Slope,10,River,33,45,0.875915,73,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.293561,692.0831064,-0.0245721,0.157251,0.181824,1
Soil Cut,10,Backyard,8,270,0.77422,61,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.23321,36.17677538,-0.147433,-0.00616086,0.141272,1
Fill Slope,1,Drainage ditch,14,123.024,3.68873,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.195684,175.7160983,-0.0245721,-0.162554,-0.137982,1
Soil Cut,5,Drainage ditch,11,227.862,2.19162,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.265789,546.7533825,0.503728,0.292408,-0.21132,1
Soil Cut,3,Backlane,9,186.34,4.19924,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.348524,160.0905607,-0.503728,-0.147433,0.356296,1
Natural Hillside,0.5,Open area,4,292.166,2.25619,72,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.2585,215.0821606,-0.552873,-0.214351,0.338522,1
Soil Cut,0.5,Squatter dwelling,16,262.875,2.49536,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.301954,31.15909422,-0.319438,-0.0159857,0.303452,1
Soil Cut,1,Access road,31,338.279,10.144,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.219943,364.0620511,-0.380868,-0.154647,0.226221,1
Soil Cut,0.2,Back-lane,35,162.013,12.3419,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.216763,59.21458538,-0.172005,-0.031536,0.140469,1
Soil Cut,21,Open area,3,270,2.01227,72,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.226066,127.6430594,-0.245721,-0.127056,0.118665,1
Retaining Wall,7,Footpath,7,225,0.547473,32,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.197014,693.1835261,-0.172005,0.0945081,0.266513,1
Soil Cut,2,Squatter dwelling,6,80.2724,5.48214,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.262395,824.1850151,0.835452,0.497248,-0.338204,1
Natural Hillside,1.5,Open area,53,127.875,4.4053,73,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.235458,108.6787997,-0.688019,-0.464713,0.223307,1
Soil Cut,2,Backlane,17,244.359,4.2862,61,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.154606,32.21272274,0.282579,-0.0491442,-0.331724,1
Soil Cut,3,Cultivation land,10,315,1.09485,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.307035,380.6768257,-0.208863,-0.140539,0.0683238,1
Natural Hillside,2.5,Footpath,62,140.974,9.38345,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.244818,9.848171423,0.0491442,0.0207114,-0.0284328,1
Fill Slope,5,Storage shed,12,156.801,1.17916,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.10189,645.7624361,-0.565159,-0.223019,0.34214,1
Soil Cut,1.7,Open area,67,43.0251,3.17408,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.340828,1.408086627,-0.159719,0.0153556,0.175074,1
Soil Cut,5,Squatter dwelling,13,185.194,2.56391,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.272002,410.8016851,0.184291,0.281417,0.0971266,1
Soil Cut,5,Open area,23,257.735,3.63991,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.23832,954.835408,-0.761736,-0.298032,0.463704,1
Natural Hillside,1,Water treatment plant,31,210.964,4.05645,52,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.22999,52.78433746,-0.0245721,-0.0497394,-0.0251673,1
Fill Slope,3,Open area,5,320.194,1.20926,42,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.108686,1180.084444,0.221149,0.202106,-0.0190434,1
Retaining Wall (Concrete),3,Squatter,15,320.194,1.20926,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.222932,9.766018637,-0.294865,-0.147185,0.14768,1
Soil Cut,80,"Squatters, construction site",13,290.225,1.56738,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.192582,1262.007352,-0.0982885,-0.0245721,0.0737164,1
Natural Hillside,20,Squatters,4,23.1986,1.17916,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.336184,799.0348577,-0.147433,-0.0318389,0.115594,1
Fill Slope,0,Open area,9,330.945,0.797106,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.253804,879.4586528,0.0122861,0.11782,0.105534,1
Disturbed Terrain,0,Open area,16,203.962,7.5811,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.274302,894.8372262,0,0.0245721,0.0245721,1
Soil Cut,30,Agriculture terrace,47,123.69,3.34618,72,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.318252,25.78340714,-0.0122861,0.195822,0.208108,1
Soil Cut,0.5,Road,20,209.055,4.77188,72,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.272849,13.13072477,-0.0614303,-0.000692651,0.0607376,1
Natural Hillside,0,Squatters,15,251.565,0.734494,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.106795,31.96056437,-0.159719,-0.0881906,0.0715282,1
Soil Cut,4,Open area,8,210.069,3.39575,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.285859,19.02006044,-0.0122861,0.0576505,0.0699365,1
Soil Cut,6,Nil,147,288.252,14.9767,71,Jurassic,145-199,Granitic Rocks,0.298734,416.7432172,0.294865,0.121088,-0.173777,1
Soil Cut,2.6,Registered squatter dwelling,41,240.068,2.94572,72,Jurassic,145-199,Granitic Rocks,0.343853,123.3976554,-0.0245721,0.0390263,0.0635984,1
Soil/Rock Cut,0.15,Road,179,188.243,21.1278,41,Jurassic,145-199,Granitic Rocks,0.374639,619.6514152,-0.294865,0.00302915,0.297895,1
Soil/Rock Cut,0.6,Catchwater,107,287.22,13.6,71,Jurassic,145-199,Granitic Rocks,0.20809,114.1218136,-0.184291,0.0200916,0.204382,1
Soil Cut,0.3,Catchwater,179,195.366,20.1622,71,Jurassic,145-199,Tuff and Lava,0.354624,266.3100412,-0.184291,-0.0573022,0.126989,1
Fill Slope,5,Access road,262,33.4399,4.90564,72,Jurassic,145-199,Granitic Rocks,0.237357,58.44496604,-0.528301,-0.388429,0.139872,1
Natural Hillside,1.5,Minor footpath,36,78.6901,5.11874,71,Jurassic,145-199,Granitic Rocks,0.333672,415.9334316,0.294865,0.121088,-0.173777,1
Soil Cut,0.3,Access road,324,342.578,18.7011,71,Jurassic,145-199,Granitic Rocks,0.288156,499.7943286,-0.196577,-0.216748,-0.0201715,1
Retaining Wall,3.6,Minor footpath,46,350.716,15.8976,3,Jurassic,145-199,Tuff and Lava,0.270782,176.2305727,-0.626589,-0.249834,0.376756,1
Natural Hillside,7,Minor footpath,264,52.4671,21.6557,71,Jurassic,145-199,Tuff and Lava,0.345834,66.87303397,-0.0245721,0.00578168,0.0303538,1
Soil Cut,13,Access road,83,134.33,18.0984,41,Jurassic,145-199,Tuff and Lava,0.370397,798.6904093,-0.147433,-0.0109852,0.136448,1
Soil/Rock Cut,1,Registered squatter dwelling,20,246.801,1.76843,71,Jurassic,145-199,Tuff and Lava,0.257311,124.245276,0.245721,0.191426,-0.0542949,1
Natural Hillside,20,Minor footpath,189,257.347,7.72943,71,Jurassic,145-199,Granitic Rocks,0.289434,4.774038025,0.503728,0.245721,-0.258007,1
Soil Cut,8.8,Catchwater,69,137.684,13.7603,73,Jurassic,145-199,Tuff and Lava,0.300974,688.551817,-0.0982885,-0.0534444,0.0448441,1
Soil Cut,20,Road,26,276.667,17.4473,71,Jurassic,145-199,Granitic Rocks,0.225984,1890.568758,0.122861,0.0923573,-0.0305033,1
Retaining Wall (Masonry),1,Minor footpath,23,355.03,3.57044,72,Jurassic,145-199,Granitic Rocks,0.282467,4.939181275,-0.565159,-0.408389,0.15677,1
Others,20,Building,20,320.711,3.29768,21,Jurassic,145-199,Granitic Rocks,0.1058,1080.961013,-0.294865,-0.0418433,0.253022,1
Soil Cut,1,Village house,17,223.409,7.83764,3,Jurassic,145-199,Granitic Rocks,0.213156,11.09036778,-0.159719,-0.0374155,0.122303,1
Retaining Wall (Masonry),2,Registered squatter dwelling,37,356.186,19.0528,3,Jurassic,145-199,Granitic Rocks,0.233942,630.1241778,-0.0982885,-0.0534444,0.0448441,1
Soil Cut,2.5,Nil,51,128.157,8.21451,61,Jurassic,145-199,Granitic Rocks,0.319116,990.7616875,-0.0860024,-0.0596932,0.0263092,1
Soil Cut,1,Road,286,296.565,14.891,71,Jurassic,145-199,Granitic Rocks,0.268443,766.7829346,-0.307151,-0.0716063,0.235545,1
Soil Cut,19,Access road,83,134.33,18.0984,72,Jurassic,145-199,Tuff and Lava,0.363614,14.43160487,-0.307151,-0.111354,0.195797,1
Soil Cut,20,Catchwater,95,96.2034,14.0423,72,Jurassic,145-199,Granitic Rocks,0.259627,1.764554274,-0.0614303,-0.0743257,-0.0128954,1
Soil Cut,2,Catchwater,109,135.313,19.2766,81,Jurassic,145-199,Granitic Rocks,0.291988,2058.116234,0.196577,0.0332463,-0.163331,1
Soil Cut,4,Open area,25,172.266,6.30358,71,Jurassic,145-199,Granitic Rocks,0.346089,451.766524,0.602017,0.396372,-0.205645,1
Soil Cut,0.4,Open area,10,203.499,3.87777,72,Jurassic,145-199,Granitic Rocks,0.329473,177.9828371,-0.0614303,0.0245721,0.0860024,1
Natural Hillside,2,Minor footpath,455,247.38,15.6997,71,Jurassic,145-199,Tuff and Lava,0.247697,993.7695645,0.40544,0.190963,-0.214477,1
Soil Cut,1.5,Minor footpath,270,294.163,15.3234,71,Jurassic,145-199,Granitic Rocks,0.237058,1880.118821,0.0737164,0.12912,0.0554032,1
Soil/Rock Cut,2.5,Nil,234,323.854,21.0515,71,Jurassic,145-199,Granitic Rocks,0.1328,388.1898846,0.196577,0.15078,-0.0457973,1
Soil Cut,0.001,Nil,48,120.735,6.63606,71,Jurassic,145-199,Tuff and Lava,0.275829,368.8561879,0.147433,0.131011,-0.016422,1
Retaining Wall (Masonry),3,Registered squatter dwelling,21,133.493,8.26688,71,Jurassic,145-199,Granitic Rocks,0.258758,258.8538591,-0.0491442,0.00322123,0.0523655,1
Soil Cut,1.5,Pedestrian pavement,38,350.463,9.71965,41,Jurassic,145-199,Granodiorite,0.158101,257.3910278,-0.184291,-0.0830307,0.10126,1
Fill Slope,9.8,Access road,204,103.782,12.4748,71,Jurassic,145-199,Granitic Rocks,0.305868,169.6327851,0.380868,0.162033,-0.218835,1
Soil Cut,5,Road,64,3.63819,13.1841,41,Jurassic,145-199,Granitic Rocks,0.252091,166.0031664,0.442298,0.285873,-0.156426,1
Soil Cut,3.7,Catchwater,80,187.284,10.2701,73,Jurassic,145-199,Tuff and Lava,0.265788,270.0825841,-0.159719,0.020585,0.180304,1
Soil Cut,1.5,Nil,299,258.486,8.47154,71,Jurassic,145-199,Tuff and Lava,0.329801,12.6350958,-0.196577,-0.0444999,0.152077,1
Soil Cut,5,Access road,284,230.763,11.8251,71,Jurassic,145-199,Tuff and Lava,0.267864,682.9585679,0.0491442,-0.118032,-0.167176,1
Soil Cut,10,Building,40,9.24611,10.0162,3,Jurassic,145-199,Tuff and Lava,0.182825,236.583109,-0.540587,-0.124754,0.415833,1
Retaining Wall,0.26,Access road,38,11.3099,2.36745,71,Jurassic,145-199,Granitic Rocks,0.25252,814.8524433,-0.245721,-0.180373,0.0653486,1
Rock Cut,0.1,Road,270,209.026,27.5114,72,Jurassic,145-199,Granitic Rocks,0.28661,3.592334483,-0.0491442,-0.0616855,-0.0125413,1
Soil/Rock Cut,13,Minor footpath,119,80.5377,2.82352,72,Jurassic,145-199,Granitic Rocks,0.328741,66.26120984,0.700305,0.454051,-0.246255,1
Soil Cut,0.4,Other (pumping station),13,189.689,9.57126,52,Jurassic,145-199,Granitic Rocks,0.199504,2315.616891,0.233435,0.228701,-0.00473463,1
Soil Cut,1,Minor footpath,35,143.997,13.0718,3,Jurassic,145-199,Granitic Rocks,0.252604,5.446796045,0.147433,0.00946874,-0.137964,1
Soil Cut,2.5,Access road,13,204.146,4.90927,71,Jurassic,145-199,Tuff and Lava,0.336186,365.8151014,-0.651161,-0.205214,0.445947,1
Rock Cut,0.05,Pedestrian pavement,75,190.62,9.98112,41,Jurassic,145-199,Granitic Rocks,0.0910414,769.560329,-0.454584,-0.121256,0.333328,1
Soil Cut,5,Access road,241,289.231,7.01692,71,Jurassic,145-199,Granodiorite,0.328124,62.7891866,0.159719,0.00743805,-0.152281,1
Natural Hillside,36,Access road,57,260.618,8.95124,72,Jurassic,145-199,Tuff and Lava,0.365457,657.3039077,-0.40544,0.0109064,0.416346,1
Natural Hillside,180,Open area,74,320.894,16.5832,72,Jurassic,145-199,Tuff and Lava,0.304921,79.37432021,0.0737164,0.0313508,-0.0423656,1
Soil Cut,6,Catchwater,100,352.569,8.90705,72,Jurassic,145-199,Granitic Rocks,0.254834,691.9826319,0.368582,0.0449805,-0.323601,1
Soil Cut,0.8,Access road,117,63.4349,6.20832,72,Jurassic,145-199,Granitic Rocks,0.306966,45.09878047,-0.159719,-0.0920351,0.0676837,1
Soil Cut,12,Access road,213,43.4926,4.15506,72,Jurassic,145-199,Granitic Rocks,0.323629,205.8119702,-0.0982885,-0.00303985,0.0952486,1
Soil Cut,18,Access road,111,293.587,17.4364,71,Jurassic,145-199,Granodiorite,0.232526,62.81454909,0.700305,0.454051,-0.246255,1
Soil Cut,1.2,Minor footpath,62,332.56,8.99842,3,Jurassic,145-199,Tuff and Lava,0.278282,116.0867786,0.282579,0.171762,-0.110817,1
Soil Cut,2.2,Registered squatter dwelling,62,332.56,8.99842,3,Jurassic,145-199,Tuff and Lava,0.278282,137.5587027,0.0737164,0.154325,0.0806085,1
Soil Cut,0.5,Registered squatter dwelling,22,238.241,3.81893,3,Jurassic,145-199,Tuff and Lava,0.207378,61.24461732,-0.34401,-0.0851454,0.258864,1
Soil Cut,1.8,Access road,96,131.295,14.9064,73,Jurassic,145-199,Granitic Rocks,0.27811,21.23543606,-0.0245721,-0.0386385,-0.0140664,1
Soil Cut,10,Other (non-crowded built-up facilities),38,313.137,13.2348,23,Jurassic,145-199,Tuff and Lava,0.321804,51.02749827,-0.0122861,-0.0226289,-0.0103428,1
Soil Cut,2.6,Road,286,296.565,14.891,71,Jurassic,145-199,Granitic Rocks,0.268443,116.9856879,-0.331724,-0.113961,0.217762,1
Natural Hillside,22,Minor footpath,6,149.534,3.0513,72,Jurassic,145-199,Tuff and Lava,0.377646,1.750617363,0.0245721,-0.00954563,-0.0341178,1
Natural Hillside,47,Other (private utility service),46,33.5034,6.56378,72,Jurassic,145-199,Tuff and Lava,0.285776,23.90562182,0.331724,0.171551,-0.160173,1
Soil Cut,3,Access road,274,123.323,16.316,41,Jurassic,145-199,Granitic Rocks,0.323223,38.63488777,-0.282579,-0.18171,0.100869,1
Natural Hillside,25,Nil,61,98.0224,11.4939,71,Jurassic,145-199,"Sandstone, siltstone and mudstone",0.415558,60.03432907,-0.282579,-0.18171,0.100869,1
Retaining Wall (Masonry),0.47,Access road,95,337.805,20.0458,3,Jurassic,145-199,Tuff and Lava,0.221313,3.036724832,0.110575,0.048479,-0.0620955,1
Natural Hillside,40,Nil,161,45.9094,25.7182,71,Jurassic,145-199,"Sandstone, siltstone and mudstone",0.283573,293.5268677,0.208863,0.21856,0.009697,1
Soil Cut,9.4,Access road,33,350.754,10.0162,73,Jurassic,145-199,Tuff and Lava,0.247947,12.28164694,0.565159,0.340824,-0.224335,1
Soil Cut,1.1,Access road,55,1.33222,13.0885,71,Jurassic,145-199,Tuff and Lava,0.302718,70.20304715,-0.159719,-0.0186748,0.141044,1
Soil Cut,1,Open area,23,259.992,1.33635,71,Jurassic,145-199,Granitic Rocks,0.265224,109.1057556,-0.479156,-0.0499403,0.429216,1
Soil Cut,5.5,Open area,16,257.735,3.63991,71,Jurassic,145-199,Tuff and Lava,0.249591,1583.590813,-0.675733,-0.369448,0.306285,1
Soil Cut,2,Other (building lot),28,68.8602,6.20166,71,Jurassic,145-199,Granodiorite,0.239706,410.7367828,0.294865,0.247199,-0.0476665,1
Soil Cut,2,Access road,10,131.82,1.97322,71,Jurassic,145-199,Granitic Rocks,0.320678,78.52721892,0.270293,0.0548039,-0.215489,1
Soil Cut,16,Open area,33,136.998,9.33896,72,Jurassic,145-199,Tuff and Lava,0.330137,67.89026358,0.270293,0.0548039,-0.215489,1
Natural Hillside,32,Minor footpath,225,60.8657,20.681,71,Jurassic,145-199,Tuff and Lava,0.412476,85.1517944,0.270293,0.0548039,-0.215489,1
Fill Slope,190,Road,116,81.1457,15.225,71,Jurassic,145-199,Granitic Rocks,0.279061,109.0038096,-0.368582,-0.31457,0.0540122,1
Soil Cut,3.6,Catchwater,163,22.6468,12.4676,71,Jurassic,145-199,Tuff and Lava,0.339109,116.9843254,-0.0245721,0.0106783,0.0352504,1
Rock Cut,1.5,Access road,103,116.159,23.0775,72,Jurassic,145-199,Granitic Rocks,0.376384,347.1451112,0.0368582,0.132831,0.0959726,1
Soil Cut,0.5,Open area,37,31.5043,5.61235,31,Jurassic,145-199,Tuff and Lava,0.165536,217.0749651,0.40544,0.310148,-0.0952919,1
Soil Cut,1,Registered squatter dwelling,45,92.944,13.3222,3,Jurassic,145-199,Granodiorite,0.249777,170.6416814,-0.196577,-0.135875,0.0607017,1
