,SLIDE_TYPE,M_WIDTH,S_LENGTH,SLOPE,HEADELEV,TAILELEV,ELE_DIFF,curv_plan,curv_prof,aspect,curv,history,COVER_A,COVER_B,COVER_C,COVER_D,GULLY_N,GULLY_Y
30,0.0,19.7,13.5,21.3899371294,202.5925707965,164.7596910327,31.5824039838,0.4937675433,0.23420788608988788,133.654389,0.6252688,59.0,0.0,0.0,1.0,1.0,1.0,0.0
31,2.0,10.0,6.7,36.7756144687,223.6863373191,155.7872227895,44.5458297352,0.1958983683,0.14638963483567918,-9999.0,-0.2851308,50.0,1.0,0.0,0.0,0.0,1.0,0.0
32,0.0,10.6,11.7,38.2236157744,190.7390989375,108.8831645413,3.8317235711,0.3282179967,0.38511952240689995,215.777177,-0.5318834,57.0,0.0,0.0,1.0,0.0,0.0,1.0
33,0.0,18.5,7.4,6.2363855255,130.9091057017,190.5859987054,12.0486974762,0.1892927373,0.20159310288055482,117.110559,0.8653175,59.0,0.0,0.0,1.0,0.0,1.0,0.0
34,2.0,8.8,4.0,35.4356327378,289.5334436926,81.5276642563,15.0277485146,-0.1617025531,-0.1906426950366385,-9128.162587,-0.3822351,21.0,1.0,0.0,0.0,0.0,1.0,0.0
35,0.0,17.7,14.2,24.5828530577,108.7948780924,0.0,2.0,-0.2336914904,0.028399947907396587,113.485652,-0.0837371,59.0,0.0,0.0,1.0,0.0,0.0,1.0
36,0.0,20.9,7.2,31.8714949424,194.8730787749,9999.0,21.6089517961,-0.0117612521,0.2566288458891532,-9999.0,0.3263367,59.0,0.0,0.0,1.0,0.0,0.0,1.0
37,0.0,6.1,7.1,33.3497988327,206.5090370277,68.5389517752,4.1390680083,0.2654137726,-0.1898206094934562,42.338638,0.3647507,59.0,0.0,0.0,1.0,0.0,1.0,0.0
38,2.0,6.3,8.1,21.3854917887,419.3918588926,257.0895425626,36.261345465,-0.0690554225,0.07794358848607907,235.330805,-0.0701403,19.0,1.0,0.0,0.0,0.0,1.0,0.0
39,0.0,17.2,5.9,20.2634024819,345.0160060905,9999.0,25.6253985613,0.0958301056,0.048018446716298735,213.377684,-0.0631383,59.0,0.0,0.0,1.0,0.0,1.0,0.0
40,1.0,10.6,5.1,52.7282053183,9999.0,301.1146157573,63.6406612085,-0.0976069918,-0.105496757252443,222.362891,0.542161,21.0,1.0,0.0,0.0,0.0,1.0,0.0
41,2.0,7.9,7.7,30.5844036556,78.1929340306,83.4552019448,13.3428582949,0.36856466,0.09307844885190006,182.328782,0.0557914,25.0,1.0,0.0,0.0,0.0,1.0,0.0
42,0.0,6.3,7.1,52.2540795919,140.775158407,182.6331484236,7.3832932821,0.074296893,0.13323241946432152,69.366093,-0.0742942,59.0,0.0,0.0,1.0,0.0,1.0,0.0
43,0.0,14.4,20.8,18.9613546457,545.0117666603,304.8396839907,17.8303208687,0.0170598574,-0.008239699835341624,287.828985,-0.1207638,59.0,0.0,0.0,0.0,1.0,1.0,0.0
44,0.0,18.4,14.8,4.1,116.0154941651,110.9038038607,23.5746303299,0.0115906746,0.21995440473761305,-19.576201,0.1379186,59.0,0.0,0.0,1.0,0.0,0.0,1.0
45,2.0,16.1,4.4,40.959550108,236.9880783475,132.7664156461,14.307784413,-0.1301555224,0.07262019778261489,190.768582,-0.2832727,42.0,0.0,1.0,0.0,0.0,1.0,0.0
46,0.0,15.8,10.2,43.4981053353,145.8191396248,296.2273472737,2.0,0.2361733034,0.20060236538852064,234.041408,0.3874839,59.0,0.0,0.0,1.0,1.0,1.0,0.0
47,2.0,11.0,14.3,22.0703956907,66.3598314831,51.3520046806,16.2700088641,0.2862115817,0.012431017971647848,266.645988,0.4558565,18.0,1.0,0.0,0.0,0.0,1.0,0.0
48,0.0,11.8,11.0,42.2970501286,167.5609203428,198.3159473854,15.4537204331,0.4827464083,0.29497562977536257,-9999.0,-0.8061236,59.0,0.0,0.0,1.0,0.0,1.0,0.0
49,0.0,8.6,5.0,53.5154794464,588.7027725569,434.2146405303,14.4848221798,0.0619727202,-0.35803282069772957,243.050608,-0.1427434,59.0,0.0,1.0,0.0,0.0,1.0,0.0
50,0.0,10.8,8.6,17.3594722105,535.3091998429,342.7767832839,2.0,0.4113646869,-0.22084952056421475,158.371508,0.1885975,59.0,0.0,0.0,0.0,1.0,1.0,0.0
51,0.0,11.5,9.0,53.6819153118,185.6275749634,144.0466015517,24.2287174957,0.0517787222,-0.2677374514277962,358.398074,-0.3926388,59.0,0.0,0.0,0.0,0.0,1.0,0.0
52,0.0,17.7,20.8,31.0968117493,9537.2726133638,282.1192685773,49.4613744804,0.4392903368,0.090726885195895,143.275122,-0.195697,59.0,0.0,0.0,1.0,0.0,1.0,0.0
53,0.0,10.5,20.3,42.8814561508,586.4177459465,262.9927588781,8.5932941493,0.3809889852,0.09698126050716213,183.348181,0.0102154,59.0,0.0,0.0,0.0,1.0,1.0,0.0
54,0.0,7.0,6.0,8.2349046298,9999.0,127.5011791064,30.3690669452,0.0672675642,0.2212298301669196,118.737295,-0.1039773,59.0,0.0,0.0,1.0,0.0,1.0,0.0
55,0.0,20.1,15.2,16.6880865287,47.0565851093,9769.6023681622,15.4484988768,-0.0300658834,0.10602803178967941,176.487901,-0.0529065,59.0,0.0,0.0,1.0,0.0,1.0,0.0
56,0.0,10.0,6.6,11.8176536785,44.1958849421,139.1301926207,2.5984953827,-0.2680018579,-0.28305484038133655,245.468489,-0.3254113,59.0,0.0,0.0,1.0,0.0,0.0,1.0
57,0.0,17.7,5.4,39.1227314741,333.5241169548,386.8911522474,19.4337178831,0.0187144117,-0.692018280136067,339.367624,-0.0651192,59.0,0.0,0.0,0.0,0.0,1.0,0.0
58,1.0,8.1,5.9,47.314566207,284.9690863303,259.0551838236,21.0685342622,-0.1611784048,0.10206660668118595,196.72566,-0.0596982,19.0,1.0,0.0,0.0,0.0,1.0,0.0
59,0.0,6.1,9.4,19.1290910806,192.6708794118,367.4044510959,11.6324115088,0.092783942,0.13676635990578143,189.005247,0.1019587,26.0,1.0,0.0,1.0,0.0,1.0,0.0
60,1.0,8.0,5.9,38.0495919381,106.001049145,128.1991225462,40.1623579129,0.2544837704,0.1886274055671001,123.653388,-0.1067782,27.0,1.0,0.0,0.0,0.0,0.0,1.0
61,0.0,11.2,3.6,26.8085215156,137.6312455686,93.0061849628,20.4803300073,0.0786657619,0.2393806195691986,157.895009,-0.3332077,59.0,0.0,0.0,1.0,0.0,1.0,0.0
62,0.0,7.9,8.4,31.8547745512,146.7995673342,143.3085136924,2.0,0.077108651,-0.07944315723444723,219.808877,-0.1259799,59.0,0.0,0.0,1.0,0.0,0.0,1.0
63,1.0,9.2,8.2,22.2970636262,38.7164107426,106.2106333033,33.7250585403,0.1856480113,0.024955054463857523,183.143709,0.1783601,23.0,1.0,0.0,0.0,0.0,1.0,0.0
64,2.0,8.7,6.6,32.5523964085,438.0180676328,377.6911869998,40.0330985017,0.6197895695,0.22045113431806337,197.47306,-0.0721545,21.0,1.0,0.0,0.0,0.0,1.0,0.0
65,0.0,19.2,11.6,38.8763161385,465.8843246393,457.76288566,2.0,0.0127562485,0.039637147488081975,101.923733,0.0848002,59.0,0.0,0.0,1.0,0.0,1.0,0.0
66,0.0,18.8,8.7,29.912998717,115.5509579422,130.8079129823,3.2036103416,0.0092002063,0.2146915884960603,-9999.0,0.037236,59.0,0.0,0.0,1.0,0.0,1.0,0.0
67,2.0,11.0,5.0,46.8192173488,73.637961216,155.1666801425,28.9407187421,-0.1405711218,-0.008335643657875175,198.036937,-0.0704484,30.0,1.0,0.0,0.0,0.0,1.0,0.0
68,0.0,19.2,7.7,28.4118215419,485.0526257848,147.1183905698,9863.0195570418,0.2228139802,0.17309019981291163,151.910527,-0.068227,59.0,0.0,0.0,0.0,1.0,1.0,0.0
69,0.0,16.4,14.2,34.024436679,645.2543744157,364.2910085456,22.9901522299,0.0727304199,-0.015129901918867374,264.45946,0.3042878,59.0,0.0,0.0,0.0,1.0,1.0,0.0
70,1.0,7.3,6.7,27.5045113655,133.8317486433,2.4697909733,23.1897839433,0.2873290879,0.20183870886458272,288.989398,-0.3309144,27.0,1.0,0.0,1.0,0.0,1.0,0.0
71,1.0,24.2,4.0,44.8762183423,341.3403000558,446.075060981,6.3720605082,-0.311154783,0.07482687243521273,134.913669,0.0180626,59.0,0.0,1.0,0.0,0.0,1.0,0.0
72,0.0,11.3,15.1,50.9597418516,331.9353154368,103.0584360816,12.2803478702,-0.0032314634,-0.251647194835606,317.971781,0.4653394,59.0,0.0,0.0,0.0,1.0,1.0,0.0
73,1.0,9.4,11.4,38.5984588776,451.9840131885,72.6767994465,8.7365758373,0.2514889017,-0.5517172453504018,-9999.0,-0.1826633,59.0,0.0,0.0,1.0,0.0,0.0,1.0
74,1.0,5.0,5.9,44.984381139,155.314665479,107.5937918198,27.1740512943,0.0336683805,0.14376359666075406,63.071377,-0.2806013,12.0,0.0,1.0,0.0,0.0,1.0,0.0
75,0.0,9.4,14.5,43.2894350303,222.6448963226,351.5369497112,17.493137715,-0.0895255211,0.09158136612852324,200.641761,-0.0200239,15.0,0.0,1.0,0.0,0.0,1.0,0.0
76,0.0,7.4,8.7,49.7251954987,481.7683510372,9999.0,5.5768881496,-0.4095904704,0.013105635716089276,149.136674,0.6596151,59.0,0.0,0.0,1.0,0.0,0.0,1.0
77,0.0,12.5,9.1,18.4120536314,146.9401288972,255.7739095856,36.671888537,-0.0793981871,0.20037332624912108,-9971.01042,-0.3988146,59.0,0.0,0.0,1.0,0.0,0.0,1.0
78,0.0,11.7,16.0,43.8439983148,379.6937003265,225.7860000243,17.4961054137,0.1617054671,-0.02322478741031849,-9819.081875,0.0670176,59.0,0.0,0.0,0.0,1.0,1.0,0.0
79,0.0,10.8,6.8,33.8941512393,383.7300903482,480.5099708308,2.0,0.4950248433,0.1590053304853822,-9999.0,0.1040837,59.0,0.0,0.0,0.0,1.0,1.0,0.0
80,0.0,16.4,3.2,47.740364222,701.5808009522,9999.0,2.0,-0.0229369253,0.1736432578534764,240.954265,-0.1696028,59.0,0.0,0.0,1.0,0.0,1.0,0.0
81,0.0,6.7,7.8,21.7417219257,115.737714312,144.0985659974,15.095467017,0.0769308517,-0.2280707709877846,154.885578,-0.2849576,59.0,0.0,0.0,1.0,0.0,1.0,0.0
82,0.0,16.4,5.4,23.5594648304,257.5900629832,323.7102101772,9.8119080648,-0.1295311551,0.130842367663421,-9900.10508,-0.194935,59.0,0.0,0.0,1.0,0.0,1.0,0.0
83,2.0,10.9,7.0,40.5162745792,356.2853249817,93.866572247,24.3226385867,-0.1583634939,-0.2436379097273651,204.400461,-0.2689157,42.0,1.0,0.0,0.0,0.0,1.0,0.0
84,2.0,6.9,4.7,37.6577009289,431.5616449323,549.3238437064,29.8294158344,-0.0169403431,-0.36263222080366075,143.365099,0.1009438,15.0,1.0,0.0,0.0,0.0,1.0,0.0
85,0.0,14.6,6.2,37.7523215039,252.6823345415,201.5483772929,13.5869174537,0.1619328823,0.20527853246056832,88.403799,-0.249285,59.0,0.0,0.0,1.0,0.0,1.0,0.0
86,0.0,7.9,8.4,31.1711730703,225.4197147294,285.2756799455,34.7872954986,0.5478452386,-0.19286462832029266,303.256217,0.0367991,59.0,0.0,0.0,1.0,0.0,0.0,1.0
87,0.0,5.7,16.8,37.6539084652,506.6179908058,452.5759792449,20.2996429669,0.3494625814,0.06472634311793696,220.108242,-0.2955222,59.0,0.0,0.0,1.0,0.0,1.0,0.0
88,0.0,12.5,8.9,40.9514309918,359.15729382,195.7435462868,11.468373756,-0.3599189911,-0.030989571621734324,290.850425,-0.0307882,59.0,0.0,0.0,0.0,1.0,1.0,0.0
89,0.0,18.7,16.8,23.025831383,263.3275746564,41.4468808646,11.1089173265,0.2414534415,-0.37365540642189177,225.933544,-0.098121,59.0,0.0,0.0,0.0,1.0,1.0,0.0
90,1.0,9.8,2.3,16.2518461848,217.5560835463,148.9358921108,20.2182348091,0.3526886876,0.06192510004505222,274.368094,-0.2112537,18.0,1.0,0.0,0.0,0.0,1.0,0.0
91,1.0,9.5,9.2,18.2747828151,421.6485404511,86.8698852679,29.3739995647,0.0058384523,-0.4772033228844774,213.318706,0.0990278,16.0,1.0,0.0,0.0,0.0,1.0,0.0
92,0.0,9.2,6.3,25.3459925854,221.6808059767,60.5293293006,25.9735474613,0.0524554095,0.14323092581062055,81.670613,-0.1279977,59.0,0.0,0.0,1.0,0.0,0.0,1.0
93,0.0,11.3,16.3,28.8909836423,99.9144020248,98.1977461037,2.0,-0.0056733109,-0.186893020120411,246.004014,-0.2592547,59.0,0.0,0.0,0.0,1.0,1.0,0.0
94,0.0,14.0,8.9,26.9992149281,285.0354751799,57.5064885835,19.0298423735,-0.1924719335,0.26174119741533347,184.498413,-0.2770635,59.0,0.0,0.0,0.0,1.0,1.0,0.0
95,0.0,8.8,10.6,47.2407722187,644.103418475,607.2134417628,39.7917405462,0.5244875658,0.07757547427034815,188.949859,0.7237247,12.0,0.0,0.0,0.0,0.0,1.0,0.0
96,1.0,9.5,3.1,36.8564790075,422.9013899601,388.5022082277,9.9088802089,0.3079316212,-0.3879338468001977,244.066114,0.3175612,17.0,0.0,0.0,0.0,0.0,1.0,0.0
97,0.0,18.7,20.3,16.5612424878,293.3235737646,122.1856666961,2.0,0.4660430656,0.137948667614312,156.319993,0.1025851,59.0,0.0,0.0,0.0,1.0,1.0,0.0
98,0.0,6.6,14.4,34.9208512528,357.2693508588,256.9980450782,25.6840912761,0.3333944215,-0.010216482663394968,-9822.886967,-0.0292611,59.0,0.0,0.0,1.0,0.0,0.0,1.0
99,2.0,9.5,4.1,35.5063286154,357.0621504086,248.0156053254,14.5515268845,-0.0610134193,-0.3340085952784436,191.215887,0.0677606,56.0,1.0,0.0,0.0,0.0,1.0,0.0
100,0.0,6.4,10.9,62.2785405477,689.5143047205,506.6529705711,31.1816953473,0.2796186681,0.12084329889739646,79.393825,-0.3147256,59.0,0.0,0.0,1.0,0.0,1.0,0.0
101,1.0,6.7,4.3,38.6381758708,312.7354915002,239.9773877034,19.7799531154,0.0490527424,-0.07924703419431924,178.894033,0.4293619,18.0,1.0,0.0,0.0,0.0,1.0,0.0
102,1.0,20.7,11.4,57.2270604224,213.6125232681,309.8586816685,5.8307833375,-0.107735717,-0.43701503340648573,272.372332,-0.2770981,76.0,0.0,1.0,0.0,0.0,1.0,0.0
103,1.0,9.8,10.1,22.9222939032,205.0368297455,242.9171570634,24.4596562395,-0.0888256264,0.009479602327432935,146.962866,-0.1700033,59.0,0.0,1.0,1.0,0.0,1.0,0.0
104,0.0,7.9,6.4,52.1648246762,654.8908684334,539.3142075938,2.0,0.0417668972,0.14662996609745604,131.01412,-0.1475155,59.0,0.0,0.0,1.0,0.0,0.0,1.0
105,0.0,9.0,5.8,63.4827449694,583.0019075414,658.2358283688,23.8718351962,0.3134726549,0.1297230359254084,206.388064,0.3639836,59.0,0.0,1.0,0.0,0.0,1.0,0.0
106,0.0,17.4,14.6,44.2514250448,398.0486703755,9901.5191858891,34.8996346455,-0.0476259516,0.06340320458234915,244.81525,0.5664802,59.0,0.0,0.0,0.0,1.0,1.0,0.0
107,0.0,10.9,12.2,40.8488091322,454.2297363314,245.6580865224,30.9711616234,0.0828889687,-0.10253590293546623,297.658597,-0.1955265,59.0,0.0,0.0,1.0,0.0,1.0,0.0
108,0.0,35.8,19.7,31.1367064969,195.4869843552,9218.9434408571,22.1495023785,-0.0270804947,0.1796492762320627,162.275293,-0.1098071,59.0,0.0,0.0,1.0,0.0,0.0,1.0
109,0.0,10.0,11.0,38.0417057773,219.9212530463,217.4245213178,10.6402074845,-0.2974352422,0.13345040445838788,150.527682,0.0397263,59.0,0.0,0.0,1.0,0.0,1.0,1.0
110,0.0,8.3,9.2,44.9315858676,514.5612484653,428.3326407603,2.0,-0.0673893259,0.13957917046459828,253.991082,0.0309981,59.0,0.0,0.0,1.0,0.0,1.0,0.0
111,1.0,5.9,9.1,37.291064523,219.8529061752,232.4693361085,9.8647581477,-0.5234116713,-0.12377833774514604,214.615718,-1.4374136,11.0,0.0,1.0,0.0,0.0,1.0,0.0
112,0.0,20.5,6.4,38.8400629485,280.2747278625,410.8399627185,22.0692597893,-0.0305828878,0.12077992055847783,146.249862,-0.0792062,59.0,0.0,0.0,1.0,1.0,1.0,0.0
113,0.0,11.2,7.9,45.9515515826,351.9126967043,369.8171758883,12.6694476262,0.1796444254,-0.5205458330953237,238.911188,-0.0605971,21.0,0.0,0.0,0.0,0.0,0.0,1.0
114,1.0,8.6,6.9,51.1484103455,275.213959417,185.9759933873,37.389426296,0.3188304258,-0.15055390745181424,212.412442,0.1542114,52.0,1.0,0.0,0.0,0.0,1.0,0.0
115,0.0,17.5,8.1,21.61945506,325.9605156816,461.9934003943,23.5146772394,0.303377192,0.33501519841478156,172.05089,-0.2616931,59.0,0.0,0.0,1.0,0.0,1.0,0.0
116,2.0,7.0,5.5,35.2436607899,173.6168120555,250.0679054295,43.9763152102,-0.1257288104,0.03787767413956659,162.522121,0.4092012,75.0,1.0,0.0,0.0,0.0,1.0,0.0
117,1.0,7.4,9.6,41.8185364614,196.7114435966,244.4007565963,30.5112487922,0.2266986552,-0.1729440439781269,156.470507,-0.6993142,59.0,0.0,1.0,0.0,0.0,1.0,0.0
118,2.0,9.0,5.0,35.7362914874,108.4797227555,118.5169255909,35.4579874366,0.2709557397,0.10651893681724614,185.534683,0.3730088,28.0,1.0,0.0,0.0,0.0,1.0,0.0
119,0.0,19.5,14.5,66.4906748819,578.2230714356,374.6038760834,8.3882120281,0.1496838828,-0.013319636133584473,220.379959,0.2736948,59.0,0.0,0.0,1.0,0.0,1.0,0.0
120,1.0,19.1,6.2,49.162771027,298.9592858964,171.774710698,20.4552005705,-0.0669808725,0.12674096672975807,154.430744,-0.164681,15.0,1.0,0.0,0.0,0.0,1.0,0.0
121,2.0,9.5,4.1,35.8411147238,461.3869604509,242.9991499617,22.4600192657,0.3454343761,0.2116207149401426,239.846889,0.6033258,21.0,1.0,0.0,0.0,0.0,1.0,0.0
122,0.0,11.8,7.2,21.8264885434,163.4269147464,150.4539357599,3.9127031056,-0.0176454957,0.19901491970220198,162.608689,-0.3127791,59.0,0.0,0.0,1.0,0.0,0.0,1.0
123,1.0,9.5,9.1,33.3896683985,67.7716876498,124.0076102087,45.4610377381,-0.1413248915,0.13737364836247495,206.522684,-0.2383087,29.0,1.0,0.0,0.0,0.0,0.0,1.0
124,2.0,7.5,5.0,28.3488764957,79.863504027,120.4873763798,55.8376611546,0.1082314417,0.32283530805525457,311.999872,-0.0459073,21.0,1.0,0.0,0.0,0.0,1.0,0.0
125,0.0,21.0,12.9,9999.0,9225.6432636463,89.6619035797,16.7556307297,0.4166149521,0.11297034112609476,320.238509,0.2973813,59.0,0.0,0.0,0.0,1.0,1.0,0.0
126,0.0,18.8,12.5,42.0122776208,231.6549933813,174.4320843561,2.8404691854,0.0561771056,-0.1945654557925811,-9999.0,0.1607949,59.0,0.0,0.0,1.0,1.0,1.0,0.0
127,0.0,12.5,11.3,23.4963590646,258.0661911398,280.595456139,18.0812455694,0.2806866243,0.11427034859091766,246.979175,0.0158227,59.0,0.0,0.0,0.0,0.0,0.0,1.0
128,0.0,11.5,10.7,23.6750185059,9999.0,148.6223630017,21.9252750156,0.44941875,-0.04745138805047702,132.469426,0.3327345,59.0,0.0,0.0,0.0,1.0,1.0,0.0
129,0.0,7.9,4.0,24.2892902256,9999.0,339.248645709,17.6399547487,-0.0860859563,0.00653206683859598,80.300723,0.5250977,59.0,0.0,0.0,1.0,0.0,1.0,0.0
130,0.0,19.9,16.6,9827.4807276954,86.1449601929,9999.0,13.8474333981,-0.1101207453,-0.22698851697836592,191.455949,-0.1515392,59.0,0.0,0.0,1.0,0.0,0.0,1.0
131,0.0,9.1,11.5,34.3429977013,303.7975569895,209.8993335961,13.0461035627,-0.0661783873,-0.01898487508930613,172.846902,-0.4201687,59.0,0.0,0.0,1.0,0.0,0.0,1.0
132,0.0,10.5,18.9,32.930247773,499.5439575338,337.8749319931,6.5515728179,0.3663532218,0.14629188161610243,227.645097,0.0180931,59.0,0.0,0.0,0.0,1.0,1.0,0.0
133,0.0,14.1,9.4,52.2280963461,220.3874320843,358.8716868476,12.6184077897,0.0784919424,0.03764476266912646,309.403629,1.0388547,59.0,0.0,0.0,1.0,0.0,1.0,0.0
134,0.0,13.9,10.5,33.4472034162,244.3024905142,166.3161745137,20.6363321681,-0.1093710381,0.11767744648428446,164.992176,-0.1347645,59.0,0.0,0.0,1.0,0.0,0.0,1.0
135,0.0,19.2,8.7,26.7473429034,140.033038316,378.0117059216,19.4847575205,-0.0714166929,0.28405705179486185,133.840591,-0.1111279,59.0,0.0,0.0,0.0,1.0,1.0,0.0
136,1.0,9.2,9.8,41.0011311151,415.7894946462,336.0771348001,38.6215924865,0.0605416829,0.12883903408233802,112.588821,0.5225571,41.0,1.0,0.0,0.0,0.0,1.0,0.0
137,0.0,13.9,6.5,30.9217659063,159.4917663298,412.9078798621,31.9956096193,0.0019352228,0.12746555212893868,101.300482,-0.3857088,59.0,1.0,0.0,1.0,0.0,0.0,1.0
138,0.0,14.0,5.9,52.1555059031,298.8906701303,183.2003018507,2.0,0.0302548963,-0.1010621050731686,170.314383,0.2952177,59.0,0.0,0.0,1.0,0.0,0.0,1.0
139,0.0,19.5,20.6,57.5777120347,18.0541319118,7.3103770558,18.7255484916,0.033419802,-0.06246361761085462,59.685722,1.2257103,59.0,0.0,0.0,1.0,0.0,0.0,1.0
140,0.0,13.5,12.7,44.2155001449,263.238689492,9999.0,19.3981501138,0.1608850242,0.13329373204502806,241.047088,-0.2597532,59.0,0.0,0.0,1.0,0.0,0.0,1.0
